date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,formation,referee,sh,sot,dist,fk,pk,pkatt,season,team,gf_rolling,ga_rolling,xg_rolling,xga_rolling,poss_rolling,attendance_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling
2021-08-14,15,1,7.0,1,2,-0.03219279915912948,-1.3361489314033763,22,-0.5867226047266119,-0.14371524885066014,0.5972874099126281,0.8895433649351943,7,4,-0.5338230172518553,0.5160370212151973,0.026775596839264445,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.4869867136764747,0.7911816303337478,-0.10244207178723323,0.3406959887707788,-0.3648906873554602,-0.37500597991256696,-0.5565376505084018,-0.1693317622188937,0.8877845646361795,-0.10030862586824381,0.7123858180275514,0.5782776524656763
2021-08-23,20,2,2.0,0,1,-0.03219279915912948,1.7492107592727837,21,-0.5867226047266119,1.376817201252038,-0.2018817959210262,1.4512775445010035,7,14,-1.4918980781587348,-1.4543349156946173,-0.7981676813420939,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.22739695725867262,0.37252874911701533,-0.04208560769572204,0.765722995014559,-0.09850095207757543,0.04651046837002012,-0.7569093799212058,0.1081107352243894,0.6795758364918715,-0.7654554198326518,0.7123858180275514,0.5782776524656762
2021-08-28,15,3,7.0,0,2,0.7465764700942769,-0.08019028775317895,15,0.1759737539726357,0.5033743091684274,0.4390670921264145,0.7288719829526674,13,19,-0.5338230172518553,-0.31629047111465197,-0.31170230810749816,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.22739695725867262,0.7207575290473969,-0.09880133938813013,0.6869915589535153,0.03747406030999278,0.6552716431745437,-0.9262160812671074,-0.2712374129689324,0.3050100640980777,-0.7654554198326518,0.7123858180275514,0.5782776524656762
2021-09-11,15,4,7.0,1,1,-1.3093661983407248,-0.08019028775317895,12,-0.5867226047266119,1.6871318641906505,-0.8576420333970151,0.8924669192705211,7,17,-1.229259222068021,-1.4543349156946173,-2.207864284871112,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.2273969572586726,0.11095718003874273,-0.332490485160196,0.5788254205232684,0.27815756870600533,1.0232309641296218,-0.8531813708874817,-0.41819612186469063,-0.36103146420344245,-0.7654554198326518,-0.35197533958519506,-0.395811402901264
2021-09-19,14,5,1.0,0,1,-0.03219279915912948,0.7045244194816388,3,0.6629768243079078,0.26280159317794854,1.0676034913498442,0.8636861513118197,10,21,0.7735122730850315,-0.31629047111465197,0.0936319188327696,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,-0.1983275091351925,0.5296100612554752,-0.33249048516019597,1.0395056989203246,-0.20681891239720906,1.0242054822413973,-1.0537375306281587,-0.9833792603923343,-0.9137058033566313,-0.7654554198326518,-0.35197533958519506,-0.395811402901264
2021-09-25,15,6,7.0,1,0,0.7465764700942769,0.7045244194816388,4,1.5137880460408946,-0.8004800489059913,1.3004783099698274,0.8801167747535243,10,3,1.697636763017045,-0.31629047111465197,-0.10776329645418667,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,-0.1983275091351925,0.18138128132509354,0.08407599118464393,0.817769255512342,0.2163428500264144,0.8283416845116695,-0.32985665541161474,-0.6956386193079739,-0.8086448913819466,-0.7654554198326518,-0.35197533958519506,-0.395811402901264
2021-10-03,14,7,1.0,0,0,0.7465764700942769,0.7045244194816388,6,0.6629768243079078,0.13394187967137275,-0.7747574846123058,0.6671875326332433,13,2,-0.5338230172518553,0.5160370212151973,0.060237749538329076,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,-0.19832750913519245,0.4429528504033661,0.5300140885407302,0.38315113615420254,0.5034799226408854,0.8787566151119549,0.4139632713446854,-0.6956386193079739,-0.7406652208308429,-0.7654554198326518,-0.35197533958519506,-0.395811402901264
2021-10-16,15,8,7.0,1,2,1.7623664583068248,0.7045244194816388,13,1.8889598274642503,0.26280159317794854,-0.04036360662362811,0.8961637098103615,0,4,1.697636763017045,2.302938297035904,0.0936319188327696,1.229984962060572,-0.35197533958519506,-0.395811402901264,2022,10,0.4869867136764747,0.7045244194816388,0.94658056488557,-0.13457885868555675,0.5311081055691219,0.8036634862328625,0.6457753396167406,-0.03884797367136894,0.015368790638970816,-0.7654554198326518,-0.35197533958519506,-0.395811402901264
2021-10-24,14,9,1.0,0,2,0.7465764700942769,-0.08019028775317895,2,0.43038526738860095,-0.0013515710188438568,-0.36432078206055724,0.3069310487074483,0,20,-0.32493697108419345,0.8706558651036945,1.2544183015984576,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,1.0146589038166798,0.7045244194816388,1.1177665749873515,-0.13457885868555675,0.16178573957796435,0.8144893390657097,0.953816836260745,0.8342282823788164,0.015368790638970816,-0.10030862586824381,-0.35197533958519506,-0.395811402901264
2021-10-30,12,10,7.0,1,1,-1.3093661983407248,0.7045244194816388,0,0.03930872918839368,-0.4527059803325786,1.145390553539717,0.8958841907204068,0,14,0.7735122730850315,1.4991656817474244,-0.006755056510307412,1.56785220529077,-0.35197533958519506,-0.395811402901264,2022,10,1.0146589038166798,0.442952850403366,0.9941073063869196,0.13179730061015907,-0.3931472910988305,0.6234274303836843,0.27962559156033223,1.0778002345548208,0.4694293233231856,-0.10030862586824381,-0.35197533958519506,-0.395811402901264
2021-11-07,14,11,1.0,0,0,-0.03219279915912948,-0.08019028775317895,9,-0.10449130434093382,-0.0013515710188438568,-0.5277262234690938,1.0078241107849881,10,5,-0.5338230172518553,-0.31629047111465197,-0.040354734606372476,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.3998589100201255,0.4429528504033661,0.7862179413470817,-0.06375198605782469,0.24690205495184378,0.6996596497460722,0.715404021672628,1.0778002345548208,0.4470983879736401,0.6774605825062302,-0.35197533958519506,-0.395811402901264
2021-11-20,12,12,7.0,1,1,-1.3093661983407248,1.2849570665079313,5,-1.3921281004728758,1.2930053103016852,-0.8576420333970151,0.9833286427213065,1,17,-1.7763811291147658,-0.31629047111465197,1.9289683999788212,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,-0.1983275091351925,0.18138128132509354,0.12173423074535361,-0.15180304079008886,0.08444784933668854,0.7368797834042811,-0.02841590508367235,0.6845103585788223,0.40243617016059274,0.012313788541822154,-0.35197533958519506,-0.395811402901264
2021-11-28,14,13,1.0,1,2,1.7623664583068248,0.7045244194816388,19,1.1689657393498092,1.536673535246344,0.5182719042218038,0.890584584332514,7,1,1.096672982294483,1.4991656817474244,-0.9044700675779912,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,-0.8836417319468598,0.6364303994121303,-0.48577022520847196,0.27964925298342086,-0.07999256777546408,0.9623456480755671,-0.5122306244271965,0.2888615798393735,0.6272862029540472,0.012313788541822154,-0.35197533958519506,-0.395811402901264
2021-12-01,19,14,4.0,0,0,0.7465764700942769,0.7045244194816388,17,0.43038526738860095,0.38578315783590705,0.5182719042218038,0.7351294629057873,7,19,0.6051333394845831,0.8706558651036945,-0.07402396852477956,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.14026915360232342,0.6364303994121302,-0.10921788848800018,0.942775758176395,-0.2890321175481019,0.9605791126129363,-0.40451038802404593,0.2888615798393735,0.328047865931486,-0.7654554198326518,-0.35197533958519506,-0.395811402901264
2021-12-05,16,15,1.0,0,1,-0.03219279915912948,0.7045244194816388,1,0.30614578712797247,0.9277528501098486,0.7547651883812083,1.1251037420259546,7,14,0.06729217098655654,0.12458565557262284,-0.657594313300349,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.3998589100201255,0.8980019684904028,0.06907430208851144,1.0395056989203246,0.059633925015530664,0.8696808966532026,-0.024858269111899773,0.6845103585788223,0.3168247879586837,-0.7654554198326518,-0.35197533958519506,-0.395811402901264
2021-12-12,14,16,1.0,1,2,1.7623664583068248,-1.3361489314033763,14,1.431754012008715,-0.8004800489059913,-0.04036360662362811,0.8888673228495761,7,18,-0.9839779741210295,0.12458565557262284,0.22653887413652393,1.229984962060572,2.8411081332530443,2.526455763199557,2022,10,0.8255833764139906,0.7045244194816388,0.6351655979554609,0.9500698477306999,0.5971029989416051,0.9169392630880853,0.589699497588541,0.8314690674745807,-0.5453627831343731,-0.7654554198326518,-0.35197533958519506,-0.395811402901264
